中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
158.101.215.51,443,2606:f240:f00:5a42:0:b90:4263:1499,US,Frankfurt,隧道,94 ms,152 Mbps,19558 kB/s
129.151.205.193,443,129.151.205.193,SE,Stockholm,中转,98 ms,192 Mbps,24678 kB/s
141.148.229.106,443,141.148.229.106,NL,Amsterdam,中转,90 ms,48 Mbps,6187 kB/s
144.24.176.77,443,2a0b:21c0:1007:cb:0:18b3:2edf:e3a,DE,Frankfurt,隧道,91 ms,148 Mbps,18944 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,199 ms,38 Mbps,4889 kB/s
8.210.92.27,443,8.210.92.27,HK,Hong Kong,中转,204 ms,0 Mbps,20 kB/s
158.101.212.116,443,163.123.193.3,DE,Frankfurt,隧道,95 ms,187 Mbps,23961 kB/s
141.147.75.50,443,2a0b:21c0:100a:1fa:0:3d07:cadd:2797,DE,Frankfurt,隧道,93 ms,128 Mbps,16486 kB/s
130.162.240.183,443,2a0b:21c0:1007:1c8:0:3a65:b329:2a7e,DE,Frankfurt,隧道,158 ms,175 Mbps,22425 kB/s
47.242.202.230,443,47.242.202.230,HK,Hong Kong,中转,200 ms,63 Mbps,8172 kB/s
8.219.78.1,443,8.219.78.1,SG,Singapore,中转,221 ms,64 Mbps,8285 kB/s
144.24.74.51,443,144.24.74.51,KR,Seoul,中转,186 ms,81 Mbps,10444 kB/s
141.144.240.8,443,2606:f240:f00:5a42:0:d4ac:a336:3f95,US,Frankfurt,隧道,188 ms,210 Mbps,26931 kB/s
8.222.181.117,443,8.222.181.117,SG,Singapore,中转,222 ms,64 Mbps,8266 kB/s
132.226.129.253,443,98.98.166.178,AE,Frankfurt,隧道,165 ms,214 Mbps,27443 kB/s
143.47.226.253,443,98.98.166.198,AE,Frankfurt,隧道,93 ms,196 Mbps,25088 kB/s
141.148.243.108,443,2606:f240:f00:eaf1:0:d5cf:cb7f:6e22,US,Frankfurt,隧道,96 ms,100 Mbps,12800 kB/s
130.162.232.118,443,2a0b:21c0:100a:1b3:0:8f3c:89ec:a0f4,DE,Frankfurt,隧道,91 ms,123 Mbps,15769 kB/s
8.219.201.8,443,8.219.201.8,SG,Singapore,中转,309 ms,65 Mbps,8378 kB/s
130.162.174.114,443,98.98.166.202,AE,Frankfurt,隧道,93 ms,176 Mbps,22630 kB/s
141.144.232.159,443,141.144.232.159,DE,Frankfurt,中转,91 ms,39 Mbps,5092 kB/s
132.226.204.92,443,2606:f240:f00:dd8d:0:803e:4196:d620,US,Frankfurt,隧道,93 ms,212 Mbps,27238 kB/s
141.144.228.193,443,2a0b:21c0:1007:1c8:0:f354:e54d:354b,DE,Zurich,隧道,91 ms,180 Mbps,23040 kB/s
143.47.244.245,443,2606:f240:f00:46c4:0:72c3:9f9d:ece7,US,Frankfurt,隧道,91 ms,96 Mbps,12288 kB/s
8.219.106.156,443,8.219.106.156,SG,Singapore,中转,226 ms,78 Mbps,10035 kB/s
141.147.17.155,443,2606:f240:f00:b2ed:0:45ab:301a:2772,US,Frankfurt,隧道,91 ms,236 Mbps,30310 kB/s
