中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
132.145.226.140,443,2a0b:21c0:100a:1b6:0:e497:dcb2:f5bd,DE,Frankfurt,隧道,153 ms,121 Mbps,15564 kB/s
130.162.45.11,443,2a0b:21c0:1007:1c8:0:a2ee:fc71:73ab,DE,Frankfurt,隧道,153 ms,120 Mbps,15360 kB/s
141.147.44.213,443,2a0b:21c0:1007:1c7:0:7e0:1aba:48f7,DE,Frankfurt,隧道,153 ms,121 Mbps,15564 kB/s
8.219.193.202,443,8.219.193.202,SG,Singapore,中转,171 ms,82 Mbps,10547 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,146 ms,46 Mbps,5953 kB/s
8.219.5.10,443,8.219.5.10,SG,Singapore,中转,170 ms,77 Mbps,9901 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,76 ms,50 Mbps,6473 kB/s
141.144.229.144,443,2606:f240:f00:83a7:0:b279:26e5:a3a9,US,Frankfurt,隧道,153 ms,116 Mbps,14950 kB/s
193.122.14.65,443,2a0b:21c0:1007:1c9:0:ac8b:299a:9b96,DE,Frankfurt,隧道,154 ms,108 Mbps,13926 kB/s
141.144.199.6,443,2a0b:21c0:100a:1b1:0:25b:37a0:a85e,DE,Frankfurt,隧道,267 ms,115 Mbps,14745 kB/s
132.145.82.137,443,132.145.82.137,KR,,中转,168 ms,7 Mbps,921 kB/s
